,url
0,https://www.yelp.com/biz/fresh-start-santa-monica?osq=Restaurants
1,https://www.yelp.com/biz/el-amanecer-salvadoreno-los-angeles?osq=Restaurants
2,https://www.yelp.com/biz/scottless-gumbo-and-grill-inglewood?osq=Restaurants
3,https://www.yelp.com/biz/wahlburgers-los-angeles-4?osq=Restaurants
4,https://www.yelp.com/biz/coconut-cake-thai-desserts-los-angeles?osq=Restaurants
5,https://www.yelp.com/biz/the-milky-way-los-angeles-3?osq=Restaurants
6,https://www.yelp.com/biz/astro-burger-west-hollywood-2?osq=Restaurants
7,https://www.yelp.com/biz/jeong-yuk-jeom-los-angeles-2?osq=Restaurants
8,https://www.yelp.com/biz/gulp-los-angeles-5?osq=Restaurants
9,https://www.yelp.com/biz/bull-and-dragon-los-angeles-3?osq=Restaurants
10,https://www.yelp.com/biz/tuk-tuk-thai-los-angeles-2?osq=Restaurants
11,https://www.yelp.com/biz/industry-cafe-and-jazz-culver-city?osq=Restaurants
12,https://www.yelp.com/biz/hwang-hae-do-korean-bbq-los-angeles?osq=Restaurants
13,https://www.yelp.com/biz/el-farolito-los-angeles?osq=Restaurants
14,https://www.yelp.com/biz/cara-restaurant-los-angeles?osq=Restaurants
15,https://www.yelp.com/biz/topgolf-el-segundo?osq=Restaurants
16,https://www.yelp.com/biz/zs-bbq-ribs-los-angeles?osq=Restaurants
17,https://www.yelp.com/biz/joss-bites-beverly-hills?osq=Restaurants
18,https://www.yelp.com/biz/eureka-hawthorne-3?osq=Restaurants
19,https://www.yelp.com/biz/shake-shack-los-angeles?osq=Restaurants
20,https://www.yelp.com/biz/el-churrasco-chapin-los-angeles?osq=Restaurants
21,https://www.yelp.com/biz/the-corner-place-restaurant-los-angeles?osq=Restaurants
22,https://www.yelp.com/biz/the-cloverfield-santa-monica-2?osq=Restaurants
23,https://www.yelp.com/biz/the-greyhound-bar-and-grill-los-angeles?osq=Restaurants
