,url
0,https://www.yelp.com/biz/gabys-mediterranean-marina-del-rey-2?osq=Restaurants
1,https://www.yelp.com/biz/canters-deli-los-angeles-5?osq=Restaurants
2,https://www.yelp.com/biz/the-vegan-joint-los-angeles-2?osq=Restaurants
3,https://www.yelp.com/biz/shawerma-hub-2-west-hollywood?osq=Restaurants
4,https://www.yelp.com/biz/hey-batter-batter-los-angeles?osq=Restaurants
5,https://www.yelp.com/biz/friends-and-family-los-angeles?osq=Restaurants
6,https://www.yelp.com/biz/bivrit-los-angeles-2?osq=Restaurants
7,https://www.yelp.com/biz/go-greek-yogurt-beverly-hills?osq=Restaurants
8,https://www.yelp.com/biz/flame-persian-cuisine-los-angeles?osq=Restaurants
9,https://www.yelp.com/biz/2nd-chance-soul-food-fish-fry-inglewood?osq=Restaurants
10,https://www.yelp.com/biz/lalas-argentine-grill-los-angeles-3?osq=Restaurants
11,https://www.yelp.com/biz/island-to-table-patty-hut-los-angeles?osq=Restaurants
12,https://www.yelp.com/biz/down-to-fry-burbank-2?osq=Restaurants
13,https://www.yelp.com/biz/dr-sandwich-beverly-hills?osq=Restaurants
14,https://www.yelp.com/biz/zpizza-west-hollywood?osq=Restaurants
15,https://www.yelp.com/biz/new-indias-oven-marina-del-rey-4?osq=Restaurants
16,https://www.yelp.com/biz/yuans-hotpot-rosemead-2?osq=Restaurants
17,https://www.yelp.com/biz/dolan-s-uyghur-cuisine-alhambra-2?osq=Restaurants
18,https://www.yelp.com/biz/taron-bakery-los-angeles?osq=Restaurants
19,https://www.yelp.com/biz/soho-house-west-hollywood-west-hollywood-2?osq=Restaurants
20,https://www.yelp.com/biz/juice-crafters-marina-del-rey?osq=Restaurants
21,https://www.yelp.com/biz/mensch-bakery-los-angeles?osq=Restaurants
22,https://www.yelp.com/biz/birdcage-hollywood-hollywood?osq=Restaurants
23,https://www.yelp.com/biz/krust-bakery-and-cafe-redondo-beach?osq=Restaurants
24,https://www.yelp.com/biz/ellies-table-at-the-boardwalk-irvine?osq=Restaurants
25,https://www.yelp.com/biz/5000-pies-long-beach-2?osq=Restaurants
26,https://www.yelp.com/biz/shaherzad-los-angeles?osq=Restaurants
27,https://www.yelp.com/biz/the-happy-inka-los-angeles-2?osq=Restaurants
28,https://www.yelp.com/biz/dulans-on-crenshaw-los-angeles?osq=Restaurants
29,https://www.yelp.com/biz/casa-fina-restaurant-and-cantina-los-angeles?osq=Restaurants
30,https://www.yelp.com/biz/stuff-i-eat-inglewood?osq=Restaurants
31,https://www.yelp.com/biz/teres-mexican-grill-los-angeles-3?osq=Restaurants
32,https://www.yelp.com/biz/the-magnolia-grille-north-hollywood?osq=Restaurants
33,https://www.yelp.com/biz/project-bloom-coffee-los-angeles-2?osq=Restaurants
34,https://www.yelp.com/biz/la-bella-napoli-torrance-2?osq=Restaurants
35,https://www.yelp.com/biz/veggie-grill-los-angeles-3?osq=Restaurants
36,https://www.yelp.com/biz/armav-los-angeles?osq=Restaurants
37,https://www.yelp.com/biz/continental-kitchen-bh-beverly-hills?osq=Restaurants
38,https://www.yelp.com/biz/zaatar-factory-and-bakery-burbank-2?osq=Restaurants
39,https://www.yelp.com/biz/almas-place-compton-2?osq=Restaurants
40,https://www.yelp.com/biz/wholly-mother-vegan-los-angeles-2?osq=Restaurants
41,https://www.yelp.com/biz/lima-bird-los-angeles?osq=Restaurants
42,https://www.yelp.com/biz/falafel-queen-los-angeles?osq=Restaurants
43,https://www.yelp.com/biz/tartine-sycamore-west-hollywood?osq=Restaurants
44,https://www.yelp.com/biz/real-food-daily-west-hollywood?osq=Restaurants
45,https://www.yelp.com/biz/little-saigon-bakery-los-angeles?osq=Restaurants
46,https://www.yelp.com/biz/oakberry-acai-bowls-and-smoothies-playa-vista-los-angeles-3?osq=Restaurants
47,https://www.yelp.com/biz/ramis-grill-los-angeles?osq=Restaurants
48,https://www.yelp.com/biz/the-back-door-bakery-and-cafe-sunland-2?osq=Restaurants
49,https://www.yelp.com/biz/treme-kitchen-los-angeles?osq=Restaurants
50,https://www.yelp.com/biz/eagle-rock-italian-bakery-and-deli-los-angeles?osq=Restaurants
51,https://www.yelp.com/biz/happpys-pasadena?osq=Restaurants
52,https://www.yelp.com/biz/everytable-baldwin-park?osq=Restaurants
53,https://www.yelp.com/biz/seaside-kitchen-los-angeles?osq=Restaurants
54,https://www.yelp.com/biz/el-munchies-noho-los-angeles-2?osq=Restaurants
55,https://www.yelp.com/biz/horchateria-rio-luna-paramount-2?osq=Restaurants
56,https://www.yelp.com/biz/juice-crafters-los-angeles-2?osq=Restaurants
57,https://www.yelp.com/biz/jinos-pars-persian-restaurant-los-angeles?osq=Restaurants
58,https://www.yelp.com/biz/carraras-pasadena?osq=Restaurants
59,https://www.yelp.com/biz/chef-fabio-vota-los-angeles-2?osq=Restaurants
60,https://www.yelp.com/biz/the-hummus-republic-santa-monica-santa-monica?osq=Restaurants
61,https://www.yelp.com/biz/beverly-hills-platters-los-angeles-2?osq=Restaurants
62,https://www.yelp.com/biz/mdears-bakery-and-bistro-los-angeles?osq=Restaurants
63,https://www.yelp.com/biz/tierra-mia-coffee-los-angeles-8?osq=Restaurants
64,https://www.yelp.com/biz/zin-bistro-americana-westlake-village?osq=Restaurants
65,https://www.yelp.com/biz/fa-sai-thai-garden-grove?osq=Restaurants
66,https://www.yelp.com/biz/papi-tacos-and-churros-los-angeles-2?osq=Restaurants
67,https://www.yelp.com/biz/la-tavolata-artesia?osq=Restaurants
68,https://www.yelp.com/biz/thai-vegan-beverly-hills-beverly-hills-3?osq=Restaurants
69,https://www.yelp.com/biz/linas-express-los-angeles?osq=Restaurants
70,https://www.yelp.com/biz/tatel-beverly-hills-beverly-hills-3?osq=Restaurants
71,https://www.yelp.com/biz/vegainzla-inglewood?osq=Restaurants
72,https://www.yelp.com/biz/pressed-los-angeles-11?osq=Restaurants
73,https://www.yelp.com/biz/fermentality-lakewood?osq=Restaurants
74,https://www.yelp.com/biz/mercado-buenos-aires-granada-hills-2?osq=Restaurants
75,https://www.yelp.com/biz/the-yogurt-shoppe-los-angeles?osq=Restaurants
76,https://www.yelp.com/biz/vegan-bowls-for-all-los-angeles-10?osq=Restaurants
77,https://www.yelp.com/biz/rose-bakery-los-angeles?osq=Restaurants
78,https://www.yelp.com/biz/the-vegan-junkies-international-inglewood?osq=Restaurants
79,https://www.yelp.com/biz/syndicate-sierra-madre?osq=Restaurants
80,https://www.yelp.com/biz/roscoes-house-of-chicken-los-angeles?osq=Restaurants
81,https://www.yelp.com/biz/quebobs-mediterranean-restaurant-los-angeles?osq=Restaurants
82,https://www.yelp.com/biz/k-bakery-los-angeles-2?osq=Restaurants
